playerid,dates,handle,ggr,last_12months_segment,Target_CG,bonus
1128675,5/9/2019,298.8,12.79,low,Target,5
1237560,10/2/2019,298.3,118.6,vip,Control Group,0
1204304,5/8/2019,298.2,-83.75,low,Target,5
1270030,10/22/2019,298,10,high,Control Group,0
1270992,12/25/2019,297.92,70.26,low,Target,5
1240330,3/2/2019,297.9,25.54,low,Control Group,0
1196912,11/17/2019,297.6,15,medium,Target,10
1270833,1/30/2019,297.54,-112.77,low,Target,5
1164847,1/26/2019,297.3,99.29,high,Target,20
1263148,3/14/2019,297.1,159.89,vip,Target,50
1178832,7/18/2019,297.1,-93.92,medium,Target,10
1438655,1/31/2020,296.9,19.2,low,Target,5
1133225,9/18/2019,296.7,69.65,medium,Target,10
1292198,7/29/2019,296.56,99.61,medium,Target,10
1215456,2/22/2019,296.25,120,low,Control Group,0
1170785,6/23/2019,296.25,36.45,medium,Target,10
1160970,8/4/2019,296,80.72,low,Control Group,0
1148931,6/18/2019,295.9,25,medium,Target,10
1139939,7/6/2019,295.35,2.88,low,Target,5
1217251,4/12/2019,295.28,100.08,medium,Target,10
1253032,4/5/2019,295,295,low,Target,5
1256953,8/9/2019,295,43,low,Target,5
1281511,8/10/2019,295,82.5,low,Target,5
1170277,10/6/2019,295,200.9,high,Target,20
1270640,2/13/2019,294.65,108.85,high,Control Group,0
1133225,5/12/2019,294.5,45.04,medium,Target,10
1158811,7/4/2019,294.5,85.5,low,Target,5
1464727,2/1/2020,294.5,39.5,low,Target,5
1139939,4/25/2019,294.4,9.7,low,Target,5
1128604,5/3/2019,294.4,60.03,medium,Target,10
1153955,4/25/2019,294.05,61.8,medium,Target,10
1130358,2/7/2019,294,13.38,low,Target,5
1210671,4/29/2019,294,60,medium,Target,10
1233289,3/24/2019,294,-100.2,medium,Target,10
1292196,8/11/2019,293.7,100,high,Control Group,0
1200495,5/2/2019,293.5,48.75,low,Target,5
1180429,1/8/2020,293.35,30.9,low,Target,5
1131401,10/2/2019,293.28,124.73,medium,Target,10
1187561,5/24/2019,293.25,130.17,high,Target,20
1191861,4/10/2019,293.2,67.45,low,Target,5
1128604,3/23/2019,293.1,13.98,medium,Target,10
1171041,9/20/2019,292.8,76.69,high,Target,20
1178832,7/10/2019,292.42,-34.9,medium,Target,10
1194792,4/6/2019,292.16,102.56,high,Target,20
1170277,2/3/2020,292,202.25,high,Target,20
1178832,6/24/2019,291.96,-19.9,medium,Target,10
1198664,12/13/2019,291.8,150.43,low,Target,5
1177666,2/25/2019,291.74,99.97,medium,Control Group,0
1150380,2/9/2019,291.7,101.35,low,Control Group,0
1423014,11/24/2019,291.62,7.41,regnodep,Target,5
1153955,2/4/2019,291.4,25.7,medium,Target,10
1283955,9/11/2019,291.05,44.8,low,Target,5
1217510,7/13/2019,290.9,89.11,high,Control Group,0
1187561,5/9/2019,290.85,99.57,high,Target,20
1251036,7/7/2019,290.85,105.65,medium,Control Group,0
1178832,1/5/2020,290.83,-22.1,medium,Target,10
1128604,3/7/2019,290.8,34.99,medium,Target,10
1269922,6/19/2019,290.7,-10.5,low,Target,5
1178832,8/13/2019,290.63,-114.91,medium,Target,10
1237560,10/1/2019,290.6,-18.55,vip,Control Group,0
1157739,1/20/2020,290.46,-39.95,low,Target,5
1227846,1/9/2020,290.3,40.2,low,Control Group,0
1170277,9/9/2019,290,104,high,Target,20
1387425,1/23/2020,290,-45,low,Target,5
1281511,12/30/2019,290,-10,low,Target,5
1164847,2/2/2019,289.74,20.27,high,Target,20
1160970,12/10/2019,289.6,0.94,low,Control Group,0
1273263,1/31/2019,289.45,-261.15,regnodep,Target,5
1170785,8/21/2019,289.35,125,medium,Target,10
1148646,4/7/2019,289.05,10.02,low,Control Group,0
1258804,1/5/2020,289.05,44.6,low,Target,5
1291684,5/22/2019,289,60,regnodep,Target,5
1269553,8/27/2019,289,70,medium,Target,10
1220745,12/22/2019,289,100,low,Target,5
1171041,6/15/2019,288.9,38.71,high,Target,20
1225365,5/30/2019,288.8,14.9,low,Target,5
1263148,3/3/2019,288.5,99.98,vip,Target,50
1217510,3/27/2019,288.43,25,high,Control Group,0
1391374,11/8/2019,288.2,44.25,medium,Target,10
1443917,12/16/2019,288,9.71,regnodep,Target,5
1162357,1/14/2020,287.73,9.95,low,Target,5
1231623,10/24/2019,287.5,24.9,low,Target,5
1143877,1/29/2019,287.3,54.98,low,Target,5
1303970,1/4/2020,287.1,-21.45,medium,Control Group,0
1171041,11/7/2019,286.6,92.01,high,Target,20
1274064,2/5/2019,286.16,89.61,low,Target,5
1244748,1/25/2019,286,49.2,medium,Target,10
1359358,12/28/2019,285.85,121.24,medium,Target,10
1227846,1/7/2020,285.7,-100,low,Control Group,0
1128604,2/8/2019,285.5,53.63,medium,Target,10
1217510,4/23/2019,285.47,24.49,high,Control Group,0
1180308,6/28/2019,285.45,199.35,low,Target,5
1160970,9/17/2019,285.3,-8.38,low,Control Group,0
1136220,10/14/2019,285.25,86.5,medium,Control Group,0
1210671,5/26/2019,285,75,medium,Target,10
1261999,3/16/2019,285,81.5,low,Target,5
1253032,8/31/2019,285,200,low,Target,5
1269553,9/4/2019,285,35,medium,Target,10
1519722,1/24/2020,284.65,29.98,regnodep,Target,5
1171041,2/16/2019,284.6,-20.3,high,Target,20
1299288,8/23/2019,284.4,50.29,low,Target,5
1164847,8/14/2019,284.28,115,high,Target,20
1302559,12/27/2019,284,57.52,high,Target,20
1178832,11/9/2019,283.9,-80,medium,Target,10
1136220,11/3/2019,283.9,54.84,medium,Control Group,0
1131401,12/22/2019,283.7,70.15,medium,Target,10
1148646,5/29/2019,283.65,9.97,low,Control Group,0
1251036,6/24/2019,283.2,122.9,medium,Control Group,0
